,,,,,,
,stocks_number,Cross_Entropy,Zheng_Entropy,Div_Ratio,CV_MC,PDI
count,"12,00","12,00000","12,00000","12,00000","12,00000","12,00000"
mean,"9,25","1,48661","1,59925","0,11496","1,40254","1,45229"
std,"4,88","1,95421","0,47492","0,02404","0,32972","0,50069"
min,"4,00","0,16861","0,98727","0,08760","0,88583","0,59679"
25%,"5,75","0,59887","1,21353","0,09763","1,16644","0,92823"
50%,"6,50","0,73303","1,45404","0,10257","1,38926","1,74000"
75%,"14,25","0,88830","2,07072","0,13582","1,59807","1,77347"
max,"17,00","6,15225","2,29196","0,16022","1,94227","2,05135"
kurt,"-1,52","2,96597","-1,80625","-0,86659","-0,79284","-1,25632"
skew,"0,62","2,06214","0,25049","0,75337","0,28926","-0,71332"
